,epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
214,1.0,3,chains,10,1,0.6,84.38
383,2.0,7,chains,10,0.9,0.6,90.62
667,4.0,6,chains,0.1,0.9,0.6,84.38
934,8.0,6,chains,10,1,0.6,93.75
1172,16.0,7,chains,1,1,0.6,87.5
1436,32.0,7,chains,1,1,0.6,87.5
208,1.0,3,chains,10,1,0.7,81.25
377,2.0,7,chains,10,0.9,0.7,90.62
640,4.0,7,chains,10,1,0.7,87.5
928,8.0,6,chains,10,1,0.7,87.5
1193,16.0,6,chains,10,0.9,0.7,93.75
1430,32.0,7,chains,1,1,0.7,90.62
202,1.0,3,chains,10,1,0.8,81.25
371,2.0,7,chains,10,0.9,0.8,90.62
634,4.0,7,chains,10,1,0.8,87.5
922,8.0,6,chains,10,1,0.8,84.38
1160,16.0,7,chains,1,1,0.8,87.5
1451,32.0,6,chains,10,0.9,0.8,93.75
196,1.0,3,chains,10,1,0.9,81.25
461,2.0,3,chains,10,0.9,0.9,84.38
628,4.0,7,chains,10,1,0.9,90.62
917,8.0,6,chains,10,0.9,0.9,84.38
1154,16.0,7,chains,1,1,0.9,87.5
1418,32.0,7,chains,1,1,0.9,90.62
