,epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
54,1,8,chains,1,0.0,0.9,59.38
219,2,8,chains,1,0.0,0.9,59.38
384,4,8,chains,1,0.0,0.9,59.38
549,8,8,chains,1,0.0,0.9,59.38
714,16,8,chains,1,0.0,0.9,59.38
879,32,8,chains,1,0.0,0.9,59.38
73,1,7,chains,10,0.2,0.9,75.0
238,2,7,chains,10,0.2,0.9,81.25
403,4,7,chains,10,0.2,0.9,81.25
508,8,15,chains,10,0.2,0.9,78.12
823,16,1,chains,10,0.2,0.9,81.25
893,32,7,chains,1,0.2,0.9,90.62
72,1,7,chains,10,0.6,0.9,84.38
292,2,3,chains,1,0.6,0.9,87.5
412,4,6,chains,1,0.6,0.9,84.38
522,8,10,chains,10,0.6,0.9,87.5
687,16,10,chains,10,0.6,0.9,84.38
852,32,10,chains,10,0.6,0.9,87.5
51,1,8,chains,1,0.9,0.9,71.88
296,2,3,chains,10,0.9,0.9,84.38
401,4,7,chains,10,0.9,0.9,90.62
581,8,6,chains,10,0.9,0.9,84.38
731,16,7,chains,10,0.9,0.9,81.25
891,32,7,chains,1,0.9,0.9,90.62
130,1,3,chains,10,1.0,0.9,81.25
295,2,3,chains,10,1.0,0.9,81.25
400,4,7,chains,10,1.0,0.9,90.62
580,8,6,chains,10,1.0,0.9,81.25
725,16,7,chains,1,1.0,0.9,87.5
890,32,7,chains,1,1.0,0.9,90.62
