,epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
1,1,15,chains,0.1,0.9,0.9,65.62
150,2,7,chains,0.1,1,0.9,68.75
260,4,7,chains,0.1,1,0.9,65.62
381,8,6,chains,0.1,0.9,0.9,68.75
541,16,1,chains,0.1,0.9,0.9,71.88
571,32,9,chains,0.1,0.9,0.9,75.0
33,1,8,chains,1.0,0.9,0.9,71.88
143,2,8,chains,1.0,0.9,0.9,65.62
262,4,7,chains,1.0,1,0.9,71.88
412,8,3,chains,1.0,1,0.9,78.12
482,16,7,chains,1.0,1,0.9,87.5
592,32,7,chains,1.0,1,0.9,90.62
84,1,3,chains,5.0,1,0.9,75.0
194,2,3,chains,5.0,1,0.9,78.12
304,4,3,chains,5.0,1,0.9,84.38
374,8,7,chains,5.0,1,0.9,90.62
485,16,7,chains,5.0,0.9,0.9,84.38
595,32,7,chains,5.0,0.9,0.9,87.5
86,1,3,chains,10.0,1,0.9,81.25
197,2,3,chains,10.0,0.9,0.9,84.38
266,4,7,chains,10.0,1,0.9,90.62
387,8,6,chains,10.0,0.9,0.9,84.38
486,16,7,chains,10.0,1,0.9,81.25
597,32,7,chains,10.0,0.9,0.9,87.5
88,1,3,chains,15.0,1,0.9,87.5
159,2,7,chains,15.0,0.9,0.9,87.5
268,4,7,chains,15.0,1,0.9,78.12
389,8,6,chains,15.0,0.9,0.9,84.38
488,16,7,chains,15.0,1,0.9,81.25
598,32,7,chains,15.0,1,0.9,84.38
