,epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
54,1,13,cora,1,0.0,0.9,77.49
279,2,13,cora,1,0.0,0.9,77.49
504,4,13,cora,1,0.0,0.9,77.49
729,8,13,cora,1,0.0,0.9,77.49
954,16,13,cora,1,0.0,0.9,77.49
1179,32,13,cora,1,0.0,0.9,77.49
193,1,3,cora,10,0.2,0.9,81.0
283,2,13,cora,10,0.2,0.9,81.73
643,4,3,cora,10,0.2,0.9,81.55
868,8,3,cora,10,0.2,0.9,81.55
1073,16,4,cora,1,0.2,0.9,81.37
1178,32,13,cora,1,0.2,0.9,81.55
192,1,3,cora,10,0.6,0.9,84.5
357,2,7,cora,10,0.6,0.9,86.72
582,4,7,cora,10,0.6,0.9,86.72
807,8,7,cora,10,0.6,0.9,87.27
1092,16,3,cora,10,0.6,0.9,86.53
1317,32,3,cora,10,0.6,0.9,86.53
191,1,3,cora,10,0.9,0.9,82.84
401,2,4,cora,10,0.9,0.9,85.61
611,4,5,cora,10,0.9,0.9,87.08
806,8,7,cora,10,0.9,0.9,88.38
1091,16,3,cora,10,0.9,0.9,88.01
1316,32,3,cora,10,0.9,0.9,88.01
205,1,2,cora,10,1.0,0.9,82.66
415,2,3,cora,10,1.0,0.9,86.16
610,4,5,cora,10,1.0,0.9,87.27
835,8,5,cora,10,1.0,0.9,87.64
1030,16,7,cora,10,1.0,0.9,88.56
1255,32,7,cora,10,1.0,0.9,88.56
