,epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
40,1,11,cora,0.1,1,0.9,68.27
250,2,5,cora,0.1,1,0.9,68.27
381,4,7,cora,0.1,0.9,0.9,68.27
531,8,7,cora,0.1,0.9,0.9,68.27
741,16,1,cora,0.1,0.9,0.9,70.66
891,32,1,cora,0.1,0.9,0.9,75.09
82,1,7,cora,1.0,1,0.9,68.82
293,2,1,cora,1.0,0.9,0.9,72.14
443,4,1,cora,1.0,0.9,0.9,75.46
583,8,2,cora,1.0,0.9,0.9,79.89
723,16,3,cora,1.0,0.9,0.9,83.76
872,32,3,cora,1.0,1,0.9,86.53
135,1,2,cora,5.0,0.9,0.9,78.78
285,2,2,cora,5.0,0.9,0.9,82.66
424,4,3,cora,5.0,1,0.9,85.98
575,8,3,cora,5.0,0.9,0.9,86.53
705,16,5,cora,5.0,0.9,0.9,88.01
765,32,17,cora,5.0,0.9,0.9,88.19
127,1,3,cora,10.0,0.9,0.9,82.84
276,2,3,cora,10.0,1,0.9,86.16
406,4,5,cora,10.0,1,0.9,87.27
537,8,7,cora,10.0,0.9,0.9,88.38
686,16,7,cora,10.0,1,0.9,88.56
836,32,7,cora,10.0,1,0.9,88.56
129,1,3,cora,15.0,0.9,0.9,85.61
279,2,3,cora,15.0,0.9,0.9,86.72
409,4,5,cora,15.0,0.9,0.9,87.27
468,8,17,cora,15.0,1,0.9,88.01
728,16,3,cora,15.0,1,0.9,88.38
789,32,13,cora,15.0,0.9,0.9,88.01
