,epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
311,1.0,3,cora,10,0.9,0.6,85.06
574,2.0,7,cora,10,1,0.6,86.9
934,4.0,7,cora,10,1,0.6,87.08
1294,8.0,7,cora,10,1,0.6,87.82
1559,16.0,11,cora,10,0.9,0.6,86.9
1918,32.0,11,cora,10,1,0.6,87.45
305,1.0,3,cora,10,0.9,0.7,84.5
569,2.0,7,cora,10,0.9,0.7,86.72
929,4.0,7,cora,10,0.9,0.7,86.9
1120,8.0,17,cora,10,1,0.7,87.27
1648,16.0,7,cora,10,1,0.7,88.19
1912,32.0,11,cora,10,1,0.7,88.01
299,1.0,3,cora,10,0.9,0.8,84.32
658,2.0,3,cora,10,1,0.8,85.79
922,4.0,7,cora,10,1,0.8,86.9
1282,8.0,7,cora,10,1,0.8,88.38
1474,16.0,17,cora,10,1,0.8,88.01
2050,32.0,5,cora,10,1,0.8,88.01
293,1.0,3,cora,10,0.9,0.9,82.84
652,2.0,3,cora,10,1,0.9,86.16
964,4.0,5,cora,10,1,0.9,87.27
1277,8.0,7,cora,10,0.9,0.9,88.38
1636,16.0,7,cora,10,1,0.9,88.56
1996,32.0,7,cora,10,1,0.9,88.56
