epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
-1.0,5,chains,0.1,1,0.9,100.0
-1.0,5,chains,1,1,0.9,100.0
-1.0,5,chains,10,1,0.9,100.0
-1.0,5,chains,0.1,1,0.8,100.0
-1.0,5,chains,1,1,0.8,100.0
1.0,5,chains,1,1,0.9,65.62
1.0,5,chains,1,0.9,0.9,65.62
1.0,5,chains,1,1,0.8,65.62
1.0,5,chains,1,0.9,0.8,65.62
1.0,5,chains,1,1,0.7,65.62
2.0,5,chains,1,1,0.9,65.62
2.0,5,chains,1,0.9,0.9,65.62
2.0,5,chains,10,0.9,0.9,65.62
2.0,5,chains,1,1,0.8,65.62
2.0,5,chains,10,1,0.8,65.62
4.0,5,chains,1,0.9,0.9,65.62
4.0,5,chains,10,1,0.9,65.62
4.0,5,chains,1,1,0.8,65.62
4.0,5,chains,1,0.9,0.8,65.62
4.0,5,chains,1,1,0.7,65.62
8.0,5,chains,1,0.9,0.9,65.62
8.0,5,chains,1,1,0.8,65.62
8.0,5,chains,10,1,0.9,62.5
8.0,5,chains,10,0.9,0.9,62.5
8.0,5,chains,0.1,0.9,0.8,62.5
16.0,5,chains,0.1,0.9,0.6,65.62
16.0,5,chains,1,0.9,0.6,65.62
16.0,5,chains,10,1,0.9,62.5
16.0,5,chains,10,1,0.8,62.5
16.0,5,chains,10,0.9,0.8,62.5
32.0,5,chains,1,1,0.8,65.62
32.0,5,chains,1,1,0.9,62.5
32.0,5,chains,10,1,0.9,62.5
32.0,5,chains,10,0.9,0.9,62.5
32.0,5,chains,10,1,0.8,62.5
