epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
-1.0,1,chains,10,1,0.9,72.5
-1.0,1,chains,10,0.9,0.9,72.5
-1.0,1,chains,10,1,0.8,72.5
-1.0,1,chains,10,0.9,0.8,72.5
-1.0,1,chains,10,1,0.7,72.5
-1.0,2,chains,1,1,0.9,77.5
-1.0,2,chains,1,0.9,0.9,77.5
-1.0,2,chains,10,1,0.9,77.5
-1.0,2,chains,10,0.9,0.9,77.5
-1.0,2,chains,1,1,0.8,77.5
-1.0,3,chains,0.1,1,0.9,85.0
-1.0,3,chains,0.1,0.9,0.9,85.0
-1.0,3,chains,1,1,0.9,85.0
-1.0,3,chains,1,0.9,0.9,85.0
-1.0,3,chains,10,1,0.9,85.0
-1.0,4,chains,0.1,1,0.9,97.5
-1.0,4,chains,10,1,0.7,97.5
-1.0,4,chains,0.1,0.9,0.9,95.0
-1.0,4,chains,0.1,1,0.8,95.0
-1.0,4,chains,10,0.9,0.7,90.0
-1.0,5,chains,0.1,1,0.9,100.0
-1.0,5,chains,0.1,0.9,0.9,100.0
-1.0,5,chains,10,1,0.9,100.0
-1.0,5,chains,0.1,1,0.8,100.0
-1.0,5,chains,0.1,0.9,0.8,100.0
-1.0,6,chains,0.1,1,0.9,100.0
-1.0,6,chains,1,1,0.9,100.0
-1.0,6,chains,10,1,0.9,100.0
-1.0,6,chains,1,1,0.8,100.0
-1.0,6,chains,10,1,0.8,100.0
-1.0,7,chains,0.1,1,0.9,100.0
-1.0,7,chains,0.1,0.9,0.9,100.0
-1.0,7,chains,1,1,0.9,100.0
-1.0,7,chains,1,0.9,0.9,100.0
-1.0,7,chains,10,1,0.9,100.0
-1.0,8,chains,0.1,1,0.9,100.0
-1.0,8,chains,0.1,0.9,0.9,100.0
-1.0,8,chains,1,1,0.9,100.0
-1.0,8,chains,1,0.9,0.9,100.0
-1.0,8,chains,10,1,0.9,100.0
-1.0,9,chains,0.1,1,0.9,100.0
-1.0,9,chains,1,1,0.9,100.0
-1.0,9,chains,1,0.9,0.9,100.0
-1.0,9,chains,10,1,0.9,100.0
-1.0,9,chains,10,0.9,0.9,100.0
-1.0,10,chains,0.1,1,0.9,100.0
-1.0,10,chains,0.1,0.9,0.9,100.0
-1.0,10,chains,1,1,0.9,100.0
-1.0,10,chains,1,0.9,0.9,100.0
-1.0,10,chains,10,1,0.9,100.0
-1.0,15,chains,0.1,1,0.9,100.0
-1.0,15,chains,0.1,0.9,0.9,100.0
-1.0,15,chains,1,1,0.9,100.0
-1.0,15,chains,10,1,0.9,100.0
-1.0,15,chains,10,0.9,0.9,100.0
