epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy,avg_accuracy
-1.0,20,chains,0.1,1,0.9,100.0,95.55333333333333
-1.0,15,chains,0.1,1,0.9,93.33,95.55333333333333
-1.0,11,chains,0.1,1,0.9,93.33,95.55333333333333
1.0,20,chains,10,0.9,0.7,70.0,70.0
1.0,20,chains,10,1,0.6,70.0,70.0
1.0,7,chains,1,0.9,0.6,70.0,70.0
2.0,11,chains,10,0.9,0.7,73.33,72.22333333333334
2.0,11,chains,10,0.9,0.6,71.67,72.22333333333334
2.0,11,chains,10,1,0.6,71.67,72.22333333333334
4.0,7,chains,10,0.9,0.7,73.33,73.33
4.0,11,chains,10,0.9,0.8,73.33,73.33
4.0,11,chains,10,1,0.8,73.33,73.33
8.0,11,chains,10,1,0.6,75.0,73.88666666666666
8.0,11,chains,10,1,0.7,73.33,73.88666666666666
8.0,11,chains,10,0.9,0.7,73.33,73.88666666666666
16.0,11,chains,10,1,0.9,73.33,73.33
16.0,11,chains,10,0.9,0.9,73.33,73.33
16.0,11,chains,10,1,0.8,73.33,73.33
32.0,5,chains,1,0.9,0.9,78.33,76.11
32.0,13,chains,10,1,0.8,75.0,76.11
32.0,11,chains,1,1,0.9,75.0,76.11
