epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy,avg_accuracy
-1.0,9,computers,0.1,1,0.9,92.43,92.36666666666667
-1.0,15,computers,0.1,1,0.9,92.35,92.36666666666667
-1.0,9,computers,0.1,0.9,0.9,92.32,92.36666666666667
1.0,4,computers,10,1,0.9,91.95,91.88666666666667
1.0,4,computers,10,0.9,0.9,91.91,91.88666666666667
1.0,7,computers,10,1,0.9,91.8,91.88666666666667
2.0,10,computers,10,1,0.9,92.06,92.03333333333332
2.0,5,computers,10,1,0.9,92.02,92.03333333333332
2.0,4,computers,10,1,0.9,92.02,92.03333333333332
4.0,4,computers,10,1,0.9,92.24,92.12
4.0,6,computers,10,1,0.9,92.06,92.12
4.0,7,computers,10,1,0.8,92.06,92.12
8.0,4,computers,10,1,0.9,92.17,92.13
8.0,8,computers,10,1,0.9,92.13,92.13
8.0,4,computers,1,0.9,0.9,92.09,92.13
16.0,7,computers,10,1,0.9,92.17,92.14333333333333
16.0,4,computers,1,1,0.9,92.13,92.14333333333333
16.0,4,computers,10,1,0.9,92.13,92.14333333333333
32.0,4,computers,1,1,0.9,92.2,92.17666666666666
32.0,4,computers,10,1,0.9,92.2,92.17666666666666
32.0,10,computers,1,1,0.9,92.13,92.17666666666666
