hops,dataset,max_accuracy,epsilon,avg_accuracy
15,chains,100.0,-1.0,98.33333333333333
10,chains,100.0,-1.0,98.33333333333333
8,chains,95.0,-1.0,98.33333333333333
9,chains,67.5,1.0,63.333333333333336
3,chains,62.5,1.0,63.333333333333336
2,chains,60.0,1.0,63.333333333333336
9,chains,67.5,2.0,63.333333333333336
3,chains,62.5,2.0,63.333333333333336
2,chains,60.0,2.0,63.333333333333336
2,chains,60.0,4.0,60.0
3,chains,60.0,4.0,60.0
6,chains,60.0,4.0,60.0
6,chains,60.0,8.0,59.166666666666664
8,chains,60.0,8.0,59.166666666666664
2,chains,57.5,8.0,59.166666666666664
9,chains,70.0,16.0,65.83333333333333
3,chains,65.0,16.0,65.83333333333333
8,chains,62.5,16.0,65.83333333333333
9,chains,65.0,32.0,64.16666666666667
3,chains,65.0,32.0,64.16666666666667
10,chains,62.5,32.0,64.16666666666667
