hops,dataset,max_accuracy,epsilon,avg_accuracy
2,computers,91.02,-1.0,90.92999999999999
9,computers,90.94,-1.0,90.92999999999999
3,computers,90.83,-1.0,90.92999999999999
1,computers,87.23,1.0,86.98333333333333
2,computers,86.97,1.0,86.98333333333333
3,computers,86.75,1.0,86.98333333333333
1,computers,88.31,2.0,88.08666666666666
2,computers,88.01,2.0,88.08666666666666
3,computers,87.94,2.0,88.08666666666666
2,computers,89.35,4.0,89.00333333333333
1,computers,88.83,4.0,89.00333333333333
3,computers,88.83,4.0,89.00333333333333
2,computers,90.09,8.0,89.74333333333334
1,computers,89.61,8.0,89.74333333333334
3,computers,89.53,8.0,89.74333333333334
1,computers,90.13,16.0,90.10333333333334
2,computers,90.09,16.0,90.10333333333334
3,computers,90.09,16.0,90.10333333333334
2,computers,90.57,32.0,90.48333333333333
3,computers,90.53,32.0,90.48333333333333
1,computers,90.35,32.0,90.48333333333333
